OTU	X02_0101	X02_0102	X02_0103	X02_0104	X02_0205	X02_0206	X02_0207	X02_0208	X02_0309	X02_0310	X02_0311	X02_0312	X04_0101	X04_0102	X04_0103	X04_0104	X04_0205	X04_0206	X04_0207	X04_0208	X04_0309	X04_0310	X04_0311	X04_0312
OTU597	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
OTU6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36139	0	0	0	118	0	0	0
OTU60	742	0	1782	20	0	133	18	0	0	0	0	0	0	0	0	0	2162	0	0	0	0	155	624	136
OTU601	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU613	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
OTU618	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
OTU624	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU627	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
OTU63	5669	0	0	0	1577	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU632	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU64	0	0	0	0	0	0	0	0	0	0	0	0	0	9138	0	0	0	0	0	0	0	0	0	0
OTU640	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU644	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
OTU65	0	0	0	0	0	0	0	0	0	2	0	0	9072	0	0	0	0	0	0	0	0	0	0	129
OTU656	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU664	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU67	11107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU69	0	0	664	0	0	0	0	8510	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU7	4481	4646	5713	307	5335	744	4145	6581	0	6912	1050	1338	0	0	0	0	0	0	2	3	0	0	0	0
OTU70	0	3687	0	0	0	17	0	0	0	0	1135	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU72	0	214	0	698	0	787	118	1183	0	1247	0	1041	0	0	0	2	0	0	0	2	0	0	0	0
OTU76	0	0	0	0	7539	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
