"X020101"	"X020102"	"X020103"	"X020104"	"X020205"	"X020206"	"X020207"	"X020208"	"X020309"	"X020310"	"X020311"	"X020312"	"X040101"	"X040102"	"X040103"	"X040104"	"X040205"	"X040206"	"X040207"	"X040208"	"X040309"	"X040310"	"X040311"	"X040312"
"OTU_1494"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0
"OTU_15"	0	38	8	1	2	21	8	32	4	340	2	4	6	16	56747	60	17	7	6	4	166	17	15196	1
"OTU_1503"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
"OTU_1515"	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_1518"	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_153"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	6	0	2	0	34	0	247	0
"OTU_1536"	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_154"	0	8	7	0	0	0	0	0	0	275	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"OTU_1543"	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
"OTU_1555"	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_156"	0	0	0	0	1	0	0	0	2	0	0	0	0	0	139	0	4	0	0	0	0	0	17	0
"OTU_1564"	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"OTU_1565"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
"OTU_1573"	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_158"	1	39	1	0	8	6	2	0	3	0	0	2	1	3	0	0	3	1	0	1	36	4	2	5
"OTU_1586"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_159"	0	1	0	0	12	0	3	1	0	5	0	0	6	26	33	0	211	1	4	1	6	1	8	0
"OTU_1591"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
"OTU_16"	0	174	0	11	10	0	0	5	90	0	1	1	23126	14	27	152	6	10	10	1789	8	21396	5	0
"OTU_160"	0	0	0	16	0	0	16	0	15	0	0	0	94	0	0	0	0	0	0	0	0	0	0	0
"OTU_1602"	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_161"	0	10	6	0	271	0	2	7	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_1611"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_1616"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
"OTU_162"	0	0	0	0	0	0	0	0	1	215	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_163"	0	10	0	0	0	0	0	0	0	0	0	0	0	0	1	317	0	0	0	0	0	0	0	0
"OTU_1632"	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_1638"	0	0	0	0	0	0	0	0	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_1641"	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_1642"	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_165"	0	32	0	5	0	0	0	0	6	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_1659"	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_1667"	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_167"	0	16	4	4	110	8	12	32	1	0	21	0	5	19	4	0	3	0	1	0	0	2	0	1
"OTU_1674"	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_169"	0	20	57	7	74	4	7	9	16	3	2	7	1	2	0	6	14	0	0	2	5	0	8	1
"OTU_1690"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
"OTU_1692"	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_17"	11	8359	185	4872	854	379	32	111	139	38	24	111	1437	684	14	387	120	9	28	5158	238	26	2600	39
"OTU_170"	1	25	0	1	0	5	12	1	0	0	0	0	4	42	15	8	8	0	10	0	5	1	5	7
"OTU_1701"	0	0	0	4	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_1709"	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"OTU_1713"	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_1716"	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
"OTU_173"	0	8	0	0	40	4	0	0	0	0	0	0	1	0	10	0	25	1	0	0	0	0	50	0
"OTU_1738"	0	24	5	0	12	0	0	2	0	0	0	1	0	2	1	0	2	0	2	0	9	0	0	2
"OTU_1741"	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_1747"	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_175"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"OTU_1761"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
"OTU_177"	1	86	0	14	10	23	20	16	1	4	1	0	25	12	6	0	16	1	3	0	9	1	1	0
"OTU_1773"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_1778"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2
"OTU_1779"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
"OTU_179"	0	18	7	1	3	41	5	2	2	2	2	0	25	34	22	4	23	2	2	0	7	3	1	0
"OTU_1790"	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_1799"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
"OTU_18"	5	0	16	8	11	4	22158	11	0	131	7	0	16596	10	6	47	15	13	18	12994	26	304	13	0
"OTU_180"	0	7	2	3	0	1	7	0	2	1	2	0	0	0	0	1	0	0	0	0	0	0	0	0
"OTU_1801"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_1802"	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_1807"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_1809"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
"OTU_181"	0	5	0	0	3	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	311	0
"OTU_1815"	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_182"	0	30	2	26	13	13	5	0	3	0	0	2	0	0	0	0	0	0	5	0	0	0	0	0
"OTU_1829"	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_183"	0	37	2	3	31	5	2	4	1	8	2	2	0	8	9	0	8	0	0	1	0	1	0	0
"OTU_1836"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_184"	0	0	0	0	0	0	0	0	33	0	0	0	1	1	0	4	0	2	0	0	14	0	0	0
"OTU_1840"	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_1853"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
"OTU_186"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_1862"	0	0	0	0	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_1866"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
"OTU_187"	4	17	6	27	20	66	16	3	9	1	1	2	1	35	11	1	1	0	0	0	23	32	0	3
"OTU_1871"	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_1879"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
"OTU_1880"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_190"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_191"	0	18	0	0	52	4	2	7	2	0	0	0	0	0	9	0	0	0	0	0	0	0	19	0
"OTU_192"	0	1	2	0	8	0	0	0	0	0	0	0	4	25	75	5	14	1	2	2	15	1	35	19
"OTU_1925"	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_1929"	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_1938"	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_194"	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	227	0	0	0	27	0	0	0
"OTU_1945"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
"OTU_1954"	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_1956"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_196"	0	32	2	15	27	13	65	0	16	1	157	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_1963"	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_1973"	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_1983"	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_1985"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
